,HandId,Level,BB,preflop_raisess_to,Players,Board,SHOW_DOWN,preflop_raises,preflop_calls,preflop_allin,flop_bets,flop_raises,flop_calls,flop_allin,turn_bets,turn_raises,turn_calls,turn_allin,river_bets,river_raises,river_calls,river_allin
5497,186342472278,IV,80,1019,7,4c 9c 9s 5h 8h,2s Kd,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5498,186342493151,IV,80,924,7,Th 6s Kd 7c Jh,Ac 9h,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5499,186375654630,I,20,120,6,Kd 5c Qs 6s 5h,Td Qs,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5500,186375839108,I,20,60,9,As 8s Qs Kh 5d,Td Th,1,3,0,1,1,1,0,1,0,1,1,0,0,0,0
5501,186375899012,I,20,60,9,Qs 2s Jd 5c Qh,Qd 7d,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
5502,186375970356,I,20,0,9,8d 9d Kh 6s Td,9h Kd,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0
5503,186376148073,II,30,151,8,As 5h Tc 4h Kh,6c 7c,2,1,0,1,0,1,0,1,0,1,0,0,0,0,0
5504,186376653872,III,50,100,8,6c 4h As Js 4d,Ac 7c,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0
5505,186377448918,IV,80,1780,7,Ah Jd 3c 7c 7s,Ad Qh,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
5506,186376213325,I,20,40,6,2c 3d 6h 2h 9c,Ad As,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0
5507,186376459209,I,20,60,6,3c 8c Qc Jc 2d,As Ks,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5508,186376557700,I,20,0,6,Kd 7s 4c 8c 6h,9c Qd,0,3,0,0,0,0,0,1,0,2,0,1,0,1,0
5509,186376893192,II,30,480,6,6c 7d Ac 9d Qd,Ad Qc,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5510,186377188264,III,50,0,6,6c 5s 9d Qc 6h,Kd Jc,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0
5511,186377500669,III,50,300,5,8h Ks 8s Qd Th,Tc Kc,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5512,186378070641,IV,80,2372,4,Tc Qc 3c 2c Jh,Kh Ks,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
5513,186376887355,I,20,70,9,6s 5c Kc 9d 7d,9c Ad,1,5,0,1,0,2,0,1,0,1,0,0,0,0,0
5514,186377153221,I,20,50,9,2c Kc 2h 6s 8d,5h 5c,1,3,0,1,0,1,0,1,0,1,0,0,0,0,0
5515,186377403848,II,30,0,8,6c 3s 9s Td Ad,7h Jh,0,3,0,1,0,1,0,1,0,1,0,0,0,0,0
5516,186377711308,II,30,240,8,8d Qh Ts 8s 8h,5h Kc,2,4,0,1,0,1,0,1,0,1,1,0,0,0,0
5517,186378242951,III,50,2126,8,6c 3c 5c 6s 3h,9s Ts,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
5518,186378352783,IV,80,1023,8,7c Kd 5s 4c 2d,9c Qs,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5519,186378386421,IV,80,160,8,Th Jh 6c 9c Kh,Kc Qs,1,2,0,1,1,1,0,1,0,1,2,0,0,0,0
5520,186378438570,IV,80,1423,9,8h 2h 5c 9c Qd,4d Qd,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
5521,186377285548,I,20,60,9,Tc 2c Kd Td 6s,8c 3s,1,4,0,1,1,3,0,0,0,0,0,1,0,1,0
5522,186377566148,I,20,60,9,Js 5d 4s 9d Qd,5s 5h,1,6,0,1,0,1,0,1,0,1,0,0,0,0,0
5523,186377670663,I,20,60,9,6d Jc 3c 4c 5h,Qs Qh,1,5,0,1,1,1,1,0,0,0,0,0,0,0,0
5524,186378169787,II,30,240,9,Jd Ac 5d Tc Jh,Ad Ah,2,1,0,1,0,1,0,1,0,1,0,1,0,1,1
5525,186378227872,II,30,0,9,Kd 3d 4h 4s 3c,Th Ks,0,4,0,1,0,2,0,0,0,0,0,1,0,1,0
5526,186378413050,III,50,0,9,Ah 6s Jh 6h Jd,Ad 8s,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0
