,Tournament,HandId,Level,ante,BB,Players,Board,SHOW_DOWN,pflop_chip_rais,pflop_chip_calls,flop_chip_bets,flop_chip_raises,flop_chip_calls,turn_chip_bets,turn_chip_raises,turn_chip_calls,river_chip_bets,river_chip_raises,river_chip_calls,pflop_rais,pflop_calls,pflop_allin,flop_bets,flop_raises,flop_calls,flop_allin,turn_bets,turn_raises,turn_calls,turn_allin,river_bets,river_raises,river_calls,river_allin
13781,3660276317,1599140375,III,400,400,8,3d 6d 4s Qc Jh,Qs Qh,32400,40500,40300,256057,167400,0,0,0,0,0,0,2,3,0,1,1,2,3,0,0,0,0,0,0,0,0
13782,3660276317,1599140910,III,400,400,8,3s 2s Td 9d 4s,Kd Td,196167,20806,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0
13783,3660276317,1599141289,III,400,400,8,6s 3c Js Jh Tc,Qs Ks,21000,9000,18850,61350,42500,0,0,0,0,0,0,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0
13784,3660276317,1599143927,IV,500,500,8,Tc 4h Jc Js 7c,Td Jh,92400,68400,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13785,3660276317,1599144874,IV,500,500,8,As 8c 3h Qh 3d,9h 9c,194500,131500,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13786,3660276317,1599145839,IV,500,500,7,3s 2d 4s 3d Js,2s As,30214,26214,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13787,3660276317,1599147028,V,500,600,7,2h Js 6d 3h Qh,Th Qc,8750,8750,11633,0,11633,37700,0,37700,94250,0,88203,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1
13788,3660276317,1599147671,V,500,600,7,3d 3s Ah Ts Qh,Jd 7h,94800,58000,53559,0,53559,179612,0,94015,0,0,0,3,1,0,1,0,1,0,1,0,1,1,0,0,0,0
13789,3660276317,1599148155,V,625,600,7,4c 3d Td 4h Qs,9h 8d,10497,5497,0,0,0,15000,0,15000,43402,0,43402,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0
13790,3660276317,1599149323,V,625,600,7,6h Ad Kh 5h 5c,8s 8d,0,2500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13791,3660276317,1599150145,V,625,600,7,7c 5c 6h 5h Kd,Th 9h,10938,5938,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13792,3660276317,1599151476,V,750,600,8,9h Kh Qc Js 5s,6h Kh,120383,39500,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
13793,3660276317,1599153768,VI,750,700,8,Ac 2s Qd 5h 7d,7s 9s,96250,90250,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13794,3660276317,1599159545,VII,750,800,8,Jd 7c Kc Ad 2h,As Jd,201250,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
13795,3660276317,1599161470,VII,750,800,8,9s 9h 5d 5h Jd,8h Tc,162750,162750,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
13796,3660276317,1599162272,VII,875,800,7,Jc 8s 5d 2c Ks,Ad Ac,161225,38375,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
13797,3660276317,1599163628,VII,875,800,7,7d Js Qh 5h 9c,9d Ah,15400,11900,21962,0,21962,43924,120310,67839,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0
13798,3660276317,1599166334,VIII,875,1000,7,Jd 5s Kc Jh 8d,Ks Ts,77000,63000,21000,0,21000,133079,0,133079,0,0,0,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0
13799,3660276317,1599169156,VIII,875,1000,7,Jd Ac 2h 5d 7s,Qd Kd,55546,27546,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13800,3660276317,1599171040,VIII,875,1000,7,Ac Tc Qs Qh Th,Kc Ts,656019,40375,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
13801,3660276317,1599171870,IX,875,1200,6,7h Js Ad Ts 7s,5d 8d,21000,14000,21000,0,21000,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
13802,3660276317,1599173124,IX,875,1200,7,5d 3h 9h 9s 6s,7d 6d,108783,73783,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
